utm_source,utm_medium,utm_campaign,utm_adcontent,utm_keyword,device_category,device_os,device_brand,device_screen_resolution,device_browser,geo_country,geo_city,target
BHcvLfOaCWvWTykYqHVe,cpc,jvsVVQVKRfBIqBDBuCkq,jvsVVQVKRfBIqBDBuCkq,ZNhSIPchlbnKwZWcsKzz,desktop,Windows,other,1600x900,Chrome,Russia,Saint Petersburg,1
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,Android,Xiaomi,360x800,Chrome,Russia,Moscow,1
kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,XHNUiSKKGTEpSAlaVMFQ,hAmNSZmQkKQKAjZEGlgb,mobile,Android,Xiaomi,360x800,Chrome,Russia,Moscow,1
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,iOS,Apple,375x667,Safari,Russia,Moscow,1
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Huawei,360x780,Chrome,Russia,Moscow,1
ZpYIoDJMcFzVoPFsHGJL,smartbanner,jqlUOdZBNZYfInQVcZlS,jqlUOdZBNZYfInQVcZlS,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,393x851,Chrome,Russia,Moscow,1
aXQzDWsJuGXeBXexNHjc,referral,LTuZkdKfxRGVceoWkVyg,LTuZkdKfxRGVceoWkVyg,puhZPIYqKXeFPaUviSjo,desktop,Windows,other,1920x1080,Firefox,Russia,Moscow,1
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,414x896,Safari,Russia,Norilsk,1
MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,FTjNLDyTrXaWYgZymFkV,pHqgLcdBQPSLcrTpLkdr,mobile,Android,Samsung,385x854,Chrome,Russia,Saint Petersburg,1
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,412x869,Chrome,Russia,Krasnodar,1
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,360x780,Chrome,Russia,Cheboksary,1
vFcAhRxLfOWKhvxjELkx,organic,okTXSMadDkjvntEHzIjp,okTXSMadDkjvntEHzIjp,aXQzDWsJuGXeBXexNHjc,tablet,Android,Samsung,1280x800,YaBrowser,Russia,Dolgoprudny,1
ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,LEoPHuyFvzoNfnzGgfcd,puhZPIYqKXeFPaUviSjo,mobile,Android,Nokia,377x837,Chrome,Russia,Saint Petersburg,1
